BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
LARVAE,1,1.124186756,-0.071805146,LARVAE,1,1.255951706,-0.061592385
LARVAE,1,1.214295479,-0.360622123,LARVAE,1,1.289612314,-0.092630496
LARVAE,1,1.22433698,-0.076938334,LARVAE,1,1.403697613,-0.122485256
LARVAE,1,1.282664907,-0.138331773,LARVAE,1,1.313850573,-0.244914925
LARVAE,1,1.230767873,-0.014145183,LARVAE,1,1.289417598,0.011041861
LARVAE,1,1.138109442,-0.125554505,LARVAE,1,1.200365611,-0.245334865
LARVAE,1,1.172068382,-0.062098047,LARVAE,1,1.219049358,-0.297517498
LARVAE,2,1.268175862,0.035072027,LARVAE,1,1.254839825,-0.183671068
LARVAE,2,0.996787355,-0.2136498,LARVAE,1,1.200271369,-0.511391666
LARVAE,2,1.113336486,-0.082634397,LARVAE,1,1.211070237,-0.229709687
LARVAE,2,1.073427141,-0.407338958,LARVAE,1,1.298187571,-0.221154419
LARVAE,2,1.255851873,-0.255882999,LARVAE,1,1.134906483,-0.76254179
LARVAE,2,1.254194254,0.014981535,LARVAE,1,1.254152581,-0.337862283
LARVAE,2,1.218582233,-0.010648897,LARVAE,1,1.270449755,-0.312318181
LARVAE,2,1.089243949,-0.349156489,LARVAE,1,1.18323347,-0.355082381
LARVAE,2,1.15509774,-0.389459178,LARVAE,1,1.261553864,-0.084053735
LARVAE,2,1.305722048,-0.086751443,LARVAE,1,1.349599308,-0.33081288
LARVAE,2,1.121603937,-0.406185692,LARVAE,1,1.373351953,0.02662711
LARVAE,2,1.05516312,-0.535431113,LARVAE,1,1.185870974,-0.430761012
LARVAE,2,1.142243008,-0.495930805,LARVAE,1,1.112293111,-0.314294793
LARVAE,2,1.133643367,-0.167001565,LARVAE,2,1.056678818,-0.48765413
LARVAE,2,1.079935262,-0.1325488,LARVAE,2,1.168683685,-0.17658324
LARVAE,2,1.167078473,-0.01598938,LARVAE,2,1.233961197,-0.368385175
LARVAE,3,1.269581358,-0.055739364,LARVAE,2,1.172929652,-0.196780088
LARVAE,3,1.257762445,-0.169621945,LARVAE,2,1.273244974,-0.100103643
LARVAE,3,1.262241883,-0.197754266,LARVAE,2,1.176084261,0.035240482
LARVAE,3,1.172494339,-0.067882148,LARVAE,2,1.340966742,-0.1419244
LARVAE,3,1.085340665,-0.320856575,LARVAE,2,1.296491988,-0.282766194
LARVAE,3,1.222394642,-0.237567648,LARVAE,2,1.231073974,-0.180538108
LARVAE,3,1.220009647,-0.128234148,LARVAE,2,1.304951737,-0.120999133
LARVAE,3,1.149410706,-0.253219789,LARVAE,2,1.298067345,0.092680069
LARVAE,3,1.151455743,-0.340705308,LARVAE,2,1.18477089,-0.127435422
LARVAE,3,1.296708966,-0.188148819,LARVAE,2,1.240540068,-0.384687489
LARVAE,4,1.30227541,0.026644979,LARVAE,2,1.102769988,-0.317643524
LARVAE,4,1.225027908,-0.026961145,LARVAE,2,1.271189699,-0.044908459
LARVAE,4,1.254726423,-0.277855335,LARVAE,2,1.309904722,0.05839859
LARVAE,4,1.19568088,-0.149181985,LARVAE,2,1.240074938,-0.209607958
LARVAE,4,1.235253349,-0.359776931,LARVAE,2,1.390739532,-0.317065373
LARVAE,4,1.061486792,-0.343367243,LARVAE,2,1.38801053,-0.28465741
LARVAE,4,1.230085898,0.142056133,LARVAE,3,1.292307838,-0.319731822
LARVAE,4,1.194156436,-0.086393277,LARVAE,3,1.226938737,-0.382129388
LARVAE,4,1.1208991,-0.045198132,LARVAE,3,1.137636276,-0.449524215
LARVAE,4,1.238538927,0.065281947,LARVAE,3,1.289311788,-0.256078202
LARVAE,4,1.148594162,-0.01327263,LARVAE,3,1.362605906,-0.254660577
LARVAE,5,1.276224938,-0.096906246,LARVAE,3,1.296617371,-0.509198905
LARVAE,5,1.240831788,0.103624417,LARVAE,3,1.37821384,-0.261054754
LARVAE,5,1.244301359,-0.244076851,LARVAE,3,1.380671749,-0.374873075
LARVAE,5,1.079701538,-0.133548767,LARVAE,3,1.295724704,-0.142537867
LARVAE,5,1.246091409,-0.17450437,LARVAE,3,1.294616421,-0.246506682
LARVAE,5,1.217258726,0.096698978,LARVAE,3,1.253221536,-0.189953044
LARVAE,5,1.160245224,-0.13124978,LARVAE,3,1.371583682,-0.335467239
LARVAE,5,1.204113669,-0.117266709,LARVAE,3,1.254246358,-0.164281629
LARVAE,5,1.269410213,-0.006329825,LARVAE,3,1.278491902,-0.118081989
LARVAE,5,1.076390412,-0.211359693,LARVAE,3,1.293545829,-0.30635783
LARVAE,5,1.272437532,-0.212944821,LARVAE,3,1.123463274,-0.381141379
LARVAE,5,1.238139187,-0.137709096,LARVAE,3,1.327081258,-0.391284517
LARVAE,5,1.08820995,-0.068257298,LARVAE,3,1.28807869,-0.378534336
LARVAE,6,1.292131565,-0.110028699,LARVAE,4,1.232351621,-0.306430206
LARVAE,6,1.212178149,-0.015879482,LARVAE,4,1.235056381,-0.062783132
